D, Z, AEdAO, PdD, P_B, n,etaO,etaR, iteration, population i 
0.800000,6,1.050000,0.639814,85.975107,747.499115,0.365643,1.034145,7,29
0.768112,7,1.016594,0.630351,89.079484,798.787691,0.352478,1.034744,7,30
best fit at iteration 7,88.149181
0.800000,4,0.895175,0.718825,85.072669,702.668313,0.371297,1.029148,8,1
0.776929,7,0.705392,0.710936,85.014776,708.279868,0.371204,1.029647,8,2
0.800000,7,0.851358,0.795217,83.640157,622.684223,0.379462,1.024316,8,3
0.800000,5,0.717944,0.685325,81.784280,709.890448,0.385444,1.031267,8,4
0.800000,7,0.761501,1.055203,0.000000,0.000000,0.000000,0.000000,8,5
0.796111,7,1.050000,1.074893,88.123200,515.079208,0.366448,1.006627,8,6
0.800000,5,0.689532,0.594822,82.424589,781.168649,0.380359,1.036991,8,7
0.800000,6,0.759515,0.603171,83.122943,763.712029,0.377352,1.036463,8,8
0.800000,6,1.012110,0.703168,84.468599,693.029212,0.373596,1.030138,8,9
0.725022,7,0.611921,0.838355,0.000000,0.000000,0.000000,0.000000,8,10
0.800000,3,0.791365,0.691341,87.516657,738.224517,0.360322,1.030886,8,11
0.800000,7,0.682173,0.824992,0.000000,0.000000,0.000000,0.000000,8,12
0.800000,5,0.708324,0.558039,83.519317,817.506585,0.374513,1.039318,8,13
0.800000,6,0.829252,0.720979,82.408327,675.676813,0.383370,1.029012,8,14
0.800000,6,0.747435,0.681174,82.078135,701.420766,0.383982,1.031529,8,15
0.800000,6,0.785795,0.663936,82.390970,714.848609,0.382098,1.032620,8,16
0.792235,7,0.895918,0.904778,85.148055,580.835782,0.375219,1.017386,8,17
0.800000,5,0.726845,0.775624,82.297484,653.264489,0.385180,1.025555,8,18
0.800000,5,0.753702,0.708816,82.020115,694.173869,0.384895,1.029781,8,19
0.800000,7,0.871837,0.694642,84.120141,684.954805,0.374950,1.030678,8,20
0.800000,7,0.615116,0.774604,0.000000,0.000000,0.000000,0.000000,8,21
0.786614,3,1.050000,0.749328,90.987255,717.215861,0.347720,1.027219,8,22
0.796683,7,0.824704,0.889231,84.079468,582.220403,0.379652,1.018370,8,23
0.800000,6,0.576131,0.753655,0.000000,0.000000,0.000000,0.000000,8,24
0.800000,2,1.050000,0.748607,95.054270,709.533463,0.332943,1.027264,8,25
0.800000,6,0.514748,0.692331,0.000000,0.000000,0.000000,0.000000,8,26
0.796111,7,1.036947,0.660852,86.753293,723.462148,0.362807,1.032815,8,27
0.800000,4,0.840245,0.616792,85.497833,785.580100,0.367156,1.035602,8,28
0.800000,6,1.050000,0.639814,85.975107,747.499115,0.365643,1.034145,8,29
0.800000,6,0.846156,0.774688,82.620752,642.972841,0.383635,1.025615,8,30
best fit at iteration 8,82.620752
0.800000,7,0.895175,0.718825,84.183256,668.858958,0.375244,1.029148,9,1
0.800000,5,1.050000,0.697154,85.381766,710.835641,0.369463,1.030519,9,2
0.800000,7,0.716309,0.795217,0.000000,0.000000,0.000000,0.000000,9,3
0.800000,5,0.717944,0.685325,81.784280,709.890448,0.385444,1.031267,9,4
0.800000,5,0.890840,0.869782,84.382258,603.304979,0.377863,1.019600,9,5
0.800000,7,1.050000,1.119099,88.315721,498.181928,0.366688,1.003831,9,6
0.800000,7,0.689532,0.594822,85.067887,758.463048,0.368533,1.036991,9,7
0.800000,7,0.791053,0.625759,84.479841,735.640236,0.371780,1.035034,9,8
0.798955,7,0.916727,0.769617,84.335367,638.965010,0.375721,1.025935,9,9
0.800000,7,0.908250,0.718752,84.312648,669.176179,0.374664,1.029153,9,10
0.800000,6,0.901539,0.782818,83.108122,638.710888,0.381574,1.025100,9,11
0.800000,7,0.909878,0.819334,84.210374,610.143988,0.377435,1.022791,9,12
0.800000,5,1.050000,0.699247,85.352000,709.176837,0.369638,1.030386,9,13
0.800000,6,0.720219,0.581032,83.454273,781.910764,0.375354,1.037863,9,14
0.800000,6,0.836150,0.864585,83.297592,597.068420,0.382653,1.019929,9,15
0.792235,6,0.785795,0.663936,82.991614,727.496923,0.379286,1.032620,9,16
0.795058,7,0.895918,0.723187,84.552521,673.422568,0.373647,1.028872,9,17
0.800000,7,0.584023,0.775624,0.000000,0.000000,0.000000,0.000000,9,18
0.800000,7,0.685798,0.708816,83.224266,673.235800,0.379326,1.029781,9,19
0.800000,7,1.050000,0.906127,86.349782,570.248603,0.370083,1.017301,9,20
0.800000,7,0.728861,0.924274,0.000000,0.000000,0.000000,0.000000,9,21
0.786614,3,1.050000,0.749328,90.987255,717.215861,0.347720,1.027219,9,22
0.800000,7,0.824704,0.698535,83.753495,681.293082,0.376705,1.030431,9,23
0.800000,7,0.878780,0.761600,83.882936,641.761261,0.377560,1.026442,9,24
0.800000,7,1.050000,0.748607,86.119368,653.134890,0.367465,1.027264,9,25
0.793823,5,0.759515,0.692331,82.542314,715.524775,0.382032,1.030824,9,26
0.800000,6,1.036947,0.782548,84.645031,640.928346,0.374640,1.025117,9,27
0.800000,7,0.822921,0.783707,83.422713,628.909281,0.380170,1.025044,9,28
0.800000,7,0.757687,0.639814,84.143915,723.144370,0.373585,1.034145,9,29
0.800000,6,0.762703,0.547970,84.729386,817.709634,0.368963,1.039955,9,30
best fit at iteration 9,82.620752
0.800000,7,0.895175,0.718825,84.183256,668.858958,0.375244,1.029148,10,1
0.800000,5,0.705392,0.786894,0.000000,0.000000,0.000000,0.000000,10,2
0.798693,5,0.854222,0.724358,82.924785,687.084121,0.381059,1.028798,10,3
0.800000,5,0.976094,0.699868,84.252724,705.705820,0.374485,1.030347,10,4
0.800000,7,0.761501,0.737618,83.190411,655.432066,0.380139,1.027959,10,5
0.800000,7,0.767348,0.778275,83.111680,632.008051,0.381466,1.025388,10,6
0.800000,7,0.689532,0.573275,85.671907,777.969029,0.365467,1.038354,10,7
0.800000,7,0.826428,0.603171,85.072865,756.893694,0.368683,1.036463,10,8
0.800000,7,1.001199,0.865309,85.463719,588.109194,0.372972,1.019883,10,9
0.800000,4,0.908250,0.838355,85.905364,628.609076,0.370447,1.021588,10,10
0.800000,7,0.848596,0.747803,83.658460,649.740531,0.378248,1.027315,10,11
0.800000,3,0.682173,0.640701,85.678508,778.766474,0.366938,1.034089,10,12
0.800000,7,0.708324,0.699247,83.320607,679.488549,0.378659,1.030386,10,13
0.800000,6,0.771618,0.905242,0.000000,0.000000,0.000000,0.000000,10,14
0.796047,6,0.747435,0.649589,82.639302,731.221211,0.380606,1.033527,10,15
0.800000,6,0.785795,0.568526,84.190973,798.117641,0.371782,1.038654,10,16
0.795058,5,0.895918,0.723187,83.614106,694.322133,0.377864,1.028872,10,17
0.786614,5,1.050000,0.745270,86.059682,696.065657,0.367537,1.027475,10,18
0.800000,5,0.933305,0.708816,83.657618,697.679922,0.377377,1.029781,10,19
0.796047,5,0.890404,0.698004,83.534572,710.664370,0.377643,1.030465,10,20
0.800000,7,0.948063,0.924274,85.142873,562.374708,0.375734,1.016153,10,21
0.786614,3,1.050000,0.749328,90.987255,717.215861,0.347720,1.027219,10,22
0.800000,3,0.672989,0.695033,85.729438,735.667633,0.367936,1.030653,10,23
0.800000,7,0.922734,0.761600,84.326437,642.282933,0.375582,1.026442,10,24
0.800000,5,1.050000,0.589639,88.813616,813.332714,0.352891,1.037319,10,25
0.800000,6,0.759515,0.671031,82.199326,708.947767,0.383177,1.032171,10,26
0.800000,6,1.036947,0.782548,84.645031,640.928346,0.374640,1.025117,10,27
0.800000,7,0.822921,0.603047,85.059667,756.835694,0.368742,1.036471,10,28
0.800000,7,0.757687,0.639814,84.143915,723.144370,0.373585,1.034145,10,29
0.800000,6,0.846156,0.774688,82.620752,642.972841,0.383635,1.025615,10,30
best fit at iteration 10,82.620752
0.800000,7,0.810674,0.728538,83.478507,661.334883,0.378633,1.028534,11,1
0.800000,5,0.705392,0.658214,81.785018,729.419579,0.384788,1.032982,11,2
0.800000,5,0.920981,0.724358,83.465028,686.335138,0.378584,1.028798,11,3
