D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.779554,0.810484,0.630288,6.0,109.733456,847.286855,109.733456,,,,,,,,1.0
0.798925,0.818952,0.806771,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.721705,0.903151,0.611656,7.0,119.435698,987.086897,119.435698,,,,,,,,1.0
0.761533,0.954463,0.668133,5.0,113.665108,869.073654,113.665108,,,,,,,,1.0
0.800000,1.00005,0.747491,4.0,111.784038,745.159804,111.784038,,,,,,,,1.0
0.772755,0.99592,0.833215,4.0,115.224869,731.452535,115.224869,,,,,,,,1.0
0.781706,0.719436,0.560786,6.0,110.742902,909.586679,110.742902,,,,,,,,1.0
0.800000,0.9507,0.730922,7.0,110.03077,721.179691,110.03077,,,,,,,,1.0
0.748349,0.937536,0.71865,5.0,114.563365,849.184252,114.563365,,,,,,,,1.0
0.773338,0.971411,0.789922,6.0,111.958984,736.262404,111.958984,,,,,,,,1.0
0.800000,1.05,0.587094,6.0,113.380284,872.21753,113.380284,,,,,,,,1.0
fitness at iteration,7,,,,,113.380284,,,,,,,,1.0
0.800000,1.010277,0.821612,6.0,109.79116,673.839939,109.79116,,,,,,,,1.0
0.787493,1.05,0.765205,3.0,117.735411,766.457252,117.735411,,,,,,,,1.0
0.769976,0.961134,0.679278,3.0,120.643055,876.193328,120.643055,,,,,,,,1.0
0.800000,1.05,0.884943,4.0,112.784943,656.990805,112.784943,,,,,,,,1.0
0.782781,0.767472,0.854578,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.785956,1.05,0.883501,5.0,112.870674,670.625895,112.870674,,,,,,,,1.0
0.800000,0.85534,0.730873,6.0,107.307515,729.552212,107.307515,,,,,,,,1.0
0.784246,0.902194,0.689395,4.0,112.526179,818.556485,112.526179,,,,,,,,1.0
0.746631,0.899575,0.727242,6.0,113.821478,830.823651,113.821478,,,,,,,,1.0
0.800000,0.80779,0.646564,6.0,107.365553,794.114355,107.365553,,,,,,,,1.0
0.800000,1.023083,0.637727,7.0,112.147751,802.02392,112.147751,,,,,,,,1.0
0.794769,0.95042,0.7159,6.0,109.081346,751.533594,109.081346,,,,,,,,1.0
0.800000,0.971142,0.738314,6.0,108.812839,726.798051,108.812839,,,,,,,,1.0
0.785365,0.939053,0.757887,4.0,112.73137,761.583882,112.73137,,,,,,,,1.0
